93;148;159;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
92;93;148;149;159;160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
91;92;93;94;148;149;150;159;160;161;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
91;92;93;94;147;148;149;150;158;159;160;161;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
88;115;179;180;240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
85;88;89;115;116;178;179;180;181;240;241;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
85;86;87;88;89;114;115;116;117;178;179;180;181;239;240;241;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
85;86;87;88;89;90;114;115;116;117;177;178;179;180;181;182;239;240;241;242;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
82;96;115;142;148;200;240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
81;82;95;96;97;114;115;142;143;147;148;199;200;201;239;240;241;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
81;82;83;94;95;96;97;113;114;115;141;142;143;146;147;148;149;199;200;201;202;238;239;240;241;242;0;0;0;0;0;0;0;0;0;0;0
81;82;83;84;85;93;94;95;96;97;98;113;114;115;141;142;143;144;145;146;147;148;149;150;197;199;200;201;202;203;237;238;239;240;241;242;0
81;93;115;148;159;209;210;240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
81;82;92;93;94;114;115;116;148;149;158;159;209;210;211;239;240;241;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
80;81;82;83;91;92;93;94;114;115;116;117;147;148;149;150;157;158;159;209;210;211;238;239;240;241;242;0;0;0;0;0;0;0;0;0;0
79;80;81;82;83;90;91;92;93;94;95;113;114;115;116;117;147;148;149;150;151;157;158;159;160;204;209;210;211;212;237;238;239;240;241;242;243
