88;115;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
88;89;93;114;115;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
88;89;90;93;113;114;115;116;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
88;89;90;91;92;93;112;113;114;115;116;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
70;81;82;93;115;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
70;71;81;82;93;94;114;115;116;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
70;71;72;80;81;82;83;93;94;95;113;114;115;116;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
70;71;72;76;79;80;81;82;83;84;92;93;94;95;112;113;114;115;116;117;0;0;0;0;0;0;0;0;0;0
70;81;93;96;115;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
69;70;80;81;92;93;95;96;97;114;115;116;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
68;69;70;71;80;81;82;91;92;93;95;96;97;113;114;115;116;0;0;0;0;0;0;0;0;0;0;0;0;0
67;68;69;70;71;72;79;80;81;82;90;91;92;93;94;95;96;97;98;112;113;114;115;116;117;0;0;0;0;0
10;65;69;70;81;89;92;93;115;116;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;65;66;67;69;70;80;81;88;89;92;93;94;114;115;116;117;0;0;0;0;0;0;0;0;0;0;0;0;0
10;64;65;66;67;68;69;70;71;79;80;81;88;89;90;91;92;93;94;95;113;114;115;116;117;0;0;0;0;0
10;64;65;66;67;68;69;70;71;72;77;79;80;81;88;89;90;91;92;93;94;95;96;112;113;114;115;116;117;118
