115;258;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
114;115;116;257;258;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
113;114;115;116;256;257;258;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
113;114;115;116;117;255;256;257;258;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
115;240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
114;115;116;200;240;241;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
113;114;115;116;117;200;201;239;240;241;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
112;113;114;115;116;117;199;200;201;239;240;241;242;0;0;0;0;0;0;0;0;0;0;0;0;0;0
70;115;116;258;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
69;70;71;81;114;115;116;180;257;258;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
68;69;70;71;72;81;82;113;114;115;116;117;179;180;256;257;258;0;0;0;0;0;0;0;0;0;0
67;68;69;70;71;72;74;77;81;82;112;113;114;115;116;117;118;178;179;180;255;256;257;258;0;0;0
60;61;64;70;115;116;240;241;258;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
60;61;64;69;70;114;115;116;117;240;241;242;257;258;0;0;0;0;0;0;0;0;0;0;0;0;0
59;60;61;62;63;64;69;70;71;113;114;115;116;117;240;241;242;256;257;258;0;0;0;0;0;0;0
58;59;60;61;62;63;64;68;69;70;71;112;113;114;115;116;117;118;239;240;241;242;243;255;256;257;258
